,maxO3,T6,T9,T12,T15,T18,Ne6,Ne9,Ne12,Ne15,Ne18,Vdir6,Vvit6,Vdir9,Vvit9,Vdir12,Vvit12,Vdir15,Vvit15,Vdir18,Vvit18,Vx,maxO3v,maxO3l
18,63.4,2.6,8.1,7.8,7.0,6.4,6.0,3.0,7.0,7.0,5.0,310.0,3.0,300.0,4.0,310.0,7.0,360.0,1.0,230.0,3.0,-5.3623,72.4,62.2
19,62.2,-0.3,7.3,10.2,10.5,10.1,1.0,3.0,6.0,8.0,8.0,0.0,0.0,80.0,1.0,270.0,2.0,170.0,2.0,180.0,2.0,-2.0,63.4,76.8
20,76.8,5.4,11.4,13.0,12.8,9.1,6.0,5.0,7.0,6.0,8.0,60.0,4.0,90.0,7.0,80.0,7.0,60.0,8.0,40.0,9.0,6.8937,62.2,69.4
21,69.4,6.1,7.3,7.7,8.2,7.3,8.0,8.0,8.0,8.0,4.0,160.0,5.0,170.0,6.0,170.0,6.0,200.0,9.0,200.0,7.0,1.0419,76.8,79.4
22,79.4,2.4,8.9,11.7,12.9,10.3,3.0,7.0,7.0,8.0,7.0,0.0,0.0,90.0,2.0,80.0,1.0,50.0,1.0,10.0,3.0,0.9848,69.4,71.6
23,71.6,6.9,10.4,10.8,9.5,9.1,7.0,8.0,8.0,8.0,8.0,10.0,3.0,10.0,7.0,350.0,8.0,340.0,7.0,330.0,6.0,-1.3892,79.4,77.0
24,77.0,8.3,9.2,10.0,10.2,9.7,8.0,8.0,8.0,8.0,8.0,300.0,6.0,310.0,6.0,310.0,6.0,300.0,7.0,290.0,4.0,-4.5963,71.6,57.8
25,57.8,10.1,11.5,11.5,13.2,11.8,9.0,8.0,8.0,8.0,8.0,280.0,2.0,20.0,3.0,10.0,2.0,350.0,4.0,350.0,3.0,0.3473,77.0,60.8
26,60.8,9.2,9.8,10.7,11.2,11.2,8.0,8.0,8.0,8.0,8.0,20.0,3.0,70.0,3.0,80.0,3.0,90.0,3.0,90.0,2.0,2.9544,57.8,56.2
27,56.2,9.6,10.7,12.3,13.2,13.4,8.0,8.0,8.0,8.0,8.0,80.0,4.0,70.0,4.0,90.0,3.0,120.0,3.0,130.0,1.0,3.0,60.8,75.6
28,75.6,10.2,11.8,13.0,14.4,15.0,8.0,8.0,8.0,7.0,7.0,200.0,1.0,260.0,1.0,300.0,3.0,290.0,2.0,20.0,3.0,-2.5981,56.2,80.2
29,80.2,10.6,11.6,13.9,16.7,16.7,8.0,8.0,7.0,6.0,3.0,0.0,0.0,310.0,2.0,220.0,2.0,100.0,1.0,90.0,2.0,-1.2856,75.6,101.4
30,101.4,9.3,15.2,18.5,20.2,18.6,6.0,6.0,6.0,5.0,6.0,100.0,3.0,140.0,4.0,100.0,5.0,110.0,4.0,100.0,2.0,4.924,80.2,113.0
31,113.0,8.1,17.1,22.6,23.9,22.5,2.0,3.0,5.0,6.0,6.0,300.0,1.0,50.0,2.0,90.0,4.0,80.0,4.0,90.0,4.0,4.0,101.4,115.6
32,115.6,9.4,19.5,24.6,25.4,24.1,1.0,1.0,1.0,0.0,0.0,330.0,1.0,80.0,3.0,120.0,4.0,130.0,4.0,110.0,3.0,3.4641,113.0,117.8
33,117.8,10.2,20.6,26.6,27.7,26.1,0.0,0.0,1.0,1.0,2.0,0.0,0.0,90.0,2.0,160.0,3.0,200.0,3.0,170.0,2.0,1.0261,115.6,127.8
34,127.8,12.6,22.3,28.1,28.9,27.2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,160.0,2.0,130.0,4.0,140.0,2.0,80.0,3.0,3.0642,117.8,144.6
35,144.6,14.5,23.2,27.9,28.6,25.4,3.0,1.0,3.0,1.0,4.0,0.0,0.0,140.0,2.0,120.0,4.0,140.0,2.0,20.0,3.0,3.4641,127.8,157.0
36,157.0,13.3,22.0,26.7,27.8,24.7,4.0,1.0,1.0,1.0,4.0,10.0,1.0,140.0,3.0,150.0,3.0,260.0,2.0,230.0,3.0,1.5,144.6,90.8
37,90.8,12.1,15.8,18.3,18.0,15.5,8.0,6.0,3.0,1.0,4.0,350.0,4.0,10.0,4.0,350.0,6.0,360.0,5.0,350.0,6.0,-1.0419,157.0,74.4
38,74.4,9.5,13.3,15.8,16.8,13.4,1.0,4.0,2.0,4.0,7.0,10.0,3.0,350.0,4.0,340.0,4.0,330.0,5.0,10.0,5.0,-1.3681,90.8,85.8
39,85.8,10.0,14.0,17.2,18.1,15.5,5.0,4.0,6.0,2.0,7.0,30.0,3.0,30.0,2.0,40.0,2.0,360.0,4.0,30.0,5.0,1.2856,74.4,58.2
40,58.2,10.4,11.2,13.1,13.5,11.2,8.0,8.0,8.0,8.0,8.0,80.0,4.0,90.0,4.0,90.0,5.0,70.0,5.0,30.0,4.0,5.0,85.8,64.4
41,64.4,8.0,8.7,9.3,8.0,7.1,8.0,8.0,8.0,8.0,8.0,30.0,7.0,20.0,7.0,10.0,8.0,360.0,10.0,350.0,7.0,1.3892,58.2,74.0
42,74.0,5.0,9.6,11.6,11.1,10.1,8.0,3.0,5.0,3.0,1.0,310.0,3.0,360.0,7.0,10.0,8.0,350.0,7.0,340.0,6.0,1.3892,64.4,85.6
43,85.6,2.4,11.2,14.1,15.0,13.5,1.0,3.0,3.0,4.0,5.0,0.0,0.0,160.0,2.0,210.0,2.0,130.0,2.0,100.0,2.0,-1.0,74.0,77.2
44,77.2,6.2,12.2,14.8,15.4,14.6,7.0,6.0,7.0,7.0,7.0,100.0,2.0,130.0,4.0,100.0,5.0,130.0,4.0,170.0,3.0,4.924,85.6,42.8
45,42.8,9.1,10.5,12.1,14.3,15.3,8.0,8.0,8.0,7.0,6.0,140.0,4.0,140.0,5.0,140.0,5.0,200.0,1.0,260.0,2.0,3.2139,77.2,75.0
46,75.0,12.4,13.4,15.3,15.1,13.6,7.0,7.0,6.0,6.0,8.0,250.0,6.0,270.0,8.0,270.0,9.0,290.0,7.0,290.0,4.0,-9.0,42.8,80.0
47,80.0,8.0,10.7,13.4,13.6,11.9,7.0,7.0,6.0,2.0,1.0,10.0,2.0,20.0,4.0,350.0,6.0,330.0,7.0,340.0,6.0,-1.0419,75.0,70.4
48,70.4,5.3,11.6,13.9,14.2,13.8,1.0,3.0,4.0,7.0,4.0,290.0,2.0,290.0,3.0,350.0,2.0,330.0,3.0,340.0,4.0,-0.3473,80.0,69.0
49,69.0,6.2,11.7,13.4,14.5,12.9,2.0,7.0,7.0,7.0,5.0,0.0,0.0,310.0,3.0,320.0,7.0,350.0,5.0,360.0,4.0,-4.4995,70.4,83.4
50,83.4,5.4,13.6,16.8,17.8,16.9,1.0,4.0,3.0,7.0,7.0,0.0,0.0,120.0,4.0,110.0,4.0,100.0,3.0,120.0,4.0,3.7588,69.0,94.2
51,94.2,9.6,16.5,20.0,20.9,19.9,7.0,6.0,6.0,6.0,7.0,100.0,2.0,110.0,4.0,110.0,5.0,100.0,6.0,120.0,5.0,4.6985,83.4,91.8
52,91.8,12.3,18.3,23.0,24.7,22.2,4.0,4.0,3.0,2.0,5.0,90.0,2.0,140.0,2.0,150.0,4.0,210.0,6.0,200.0,6.0,2.0,94.2,62.0
53,62.0,14.2,14.1,16.0,17.4,17.0,8.0,8.0,8.0,7.0,3.0,180.0,4.0,160.0,3.0,210.0,8.0,230.0,6.0,230.0,5.0,-4.0,91.8,59.8
54,59.8,10.9,15.6,19.7,20.1,17.0,2.0,6.0,5.0,4.0,3.0,140.0,1.0,210.0,4.0,230.0,6.0,220.0,6.0,240.0,4.0,-4.5963,62.0,62.4
55,62.4,10.9,16.4,18.6,19.6,17.5,6.0,6.0,7.0,7.0,7.0,140.0,1.0,180.0,6.0,210.0,5.0,220.0,6.0,210.0,5.0,-2.5,59.8,60.2
56,60.2,13.9,17.0,21.6,21.7,19.6,5.0,7.0,5.0,4.0,6.0,190.0,3.0,210.0,5.0,210.0,7.0,230.0,7.0,230.0,7.0,-3.5,62.4,64.2
57,64.2,15.7,19.8,21.4,21.7,19.2,6.0,6.0,7.0,6.0,3.0,170.0,4.0,200.0,6.0,220.0,6.0,240.0,6.0,260.0,6.0,-3.8567,60.2,68.8
58,68.8,12.1,14.9,17.1,19.0,17.0,2.0,8.0,6.0,5.0,5.0,230.0,2.0,240.0,3.0,230.0,4.0,240.0,7.0,300.0,5.0,-3.0642,64.2,64.6
59,64.6,10.4,14.9,14.4,16.0,14.9,6.0,7.0,6.0,7.0,6.0,280.0,2.0,300.0,3.0,320.0,3.0,350.0,6.0,350.0,6.0,-1.9284,68.8,76.8
60,76.8,10.7,14.3,16.3,18.0,16.4,7.0,7.0,7.0,5.0,1.0,300.0,2.0,340.0,5.0,340.0,5.0,340.0,6.0,350.0,6.0,-1.7101,64.6,66.0
61,66.0,9.0,14.0,16.7,16.0,14.8,7.0,7.0,7.0,8.0,7.0,320.0,1.0,280.0,1.0,260.0,3.0,290.0,2.0,220.0,3.0,-2.9544,76.8,62.6
62,62.6,11.9,15.1,17.7,16.7,16.2,8.0,6.0,6.0,8.0,7.0,20.0,1.0,30.0,2.0,320.0,3.0,340.0,5.0,340.0,4.0,-1.9284,66.0,46.2
63,46.2,11.7,14.0,14.9,16.9,16.9,8.0,8.0,8.0,7.0,8.0,260.0,1.0,240.0,4.0,230.0,4.0,250.0,6.0,250.0,4.0,-3.0642,62.6,69.4
64,69.4,11.6,16.0,17.6,16.6,15.7,7.0,7.0,6.0,6.0,2.0,210.0,3.0,260.0,4.0,300.0,6.0,350.0,5.0,360.0,6.0,-5.1962,46.2,72.2
65,72.2,8.6,13.9,16.3,16.6,16.3,3.0,6.0,6.0,6.0,2.0,290.0,2.0,360.0,4.0,350.0,4.0,10.0,4.0,10.0,5.0,-0.6946,69.4,78.2
66,78.2,8.7,15.7,19.5,20.2,17.8,3.0,4.0,4.0,4.0,2.0,0.0,0.0,40.0,2.0,310.0,1.0,330.0,3.0,350.0,5.0,-0.766,72.2,45.2
67,45.2,11.0,15.9,17.6,19.5,17.6,8.0,7.0,7.0,7.0,7.0,240.0,1.0,260.0,1.0,340.0,3.0,320.0,2.0,10.0,5.0,-1.0261,78.2,77.2
68,77.2,11.5,15.0,16.7,17.3,16.0,1.0,5.0,3.0,2.0,2.0,300.0,3.0,30.0,7.0,350.0,8.0,10.0,6.0,10.0,7.0,-1.3892,45.2,74.0
69,74.0,8.6,15.3,16.5,18.2,16.0,1.0,5.0,7.0,6.0,1.0,310.0,2.0,20.0,4.0,30.0,4.0,330.0,4.0,10.0,5.0,2.0,77.2,63.8
70,63.8,7.8,14.2,16.1,15.9,14.4,2.0,8.0,8.0,8.0,7.0,280.0,2.0,330.0,4.0,320.0,3.0,340.0,5.0,340.0,5.0,-1.9284,74.0,45.8
71,45.8,11.8,13.2,16.0,16.5,15.3,8.0,8.0,7.0,7.0,7.0,280.0,3.0,290.0,3.0,330.0,4.0,10.0,5.0,10.0,6.0,-2.0,63.8,64.6
72,64.6,11.9,13.6,15.2,16.5,14.9,2.0,8.0,6.0,6.0,7.0,360.0,2.0,40.0,4.0,30.0,5.0,20.0,6.0,360.0,5.0,2.5,45.8,60.0
73,60.0,10.8,13.4,14.8,14.4,14.4,5.0,7.0,7.0,6.0,4.0,10.0,2.0,40.0,5.0,10.0,5.0,20.0,5.0,10.0,5.0,0.8682,64.6,81.0
74,81.0,7.7,14.2,16.7,16.6,16.7,0.0,5.0,7.0,7.0,3.0,290.0,1.0,10.0,4.0,10.0,5.0,20.0,6.0,360.0,4.0,0.8682,60.0,65.6
75,65.6,9.9,16.0,18.5,20.6,19.8,7.0,6.0,4.0,2.0,1.0,300.0,2.0,340.0,4.0,10.0,6.0,350.0,4.0,350.0,4.0,1.0419,81.0,54.6
76,54.6,10.4,14.5,21.4,24.7,21.2,8.0,2.0,1.0,1.0,4.0,290.0,2.0,240.0,2.0,230.0,2.0,260.0,5.0,20.0,4.0,-1.5321,65.6,49.6
77,49.6,12.9,15.7,17.0,14.6,14.2,7.0,8.0,8.0,8.0,8.0,230.0,3.0,240.0,6.0,230.0,6.0,230.0,4.0,230.0,6.0,-4.5963,54.6,33.2
78,33.2,15.8,16.9,17.1,16.9,17.6,7.0,8.0,8.0,7.0,6.0,240.0,2.0,270.0,4.0,10.0,2.0,10.0,5.0,10.0,4.0,0.3473,49.6,66.6
79,66.6,14.4,18.3,21.6,24.2,23.8,7.0,6.0,3.0,6.0,7.0,80.0,2.0,230.0,3.0,210.0,3.0,160.0,2.0,230.0,2.0,-1.5,33.2,60.8
80,60.8,15.1,20.3,22.3,25.3,21.5,7.0,7.0,8.0,7.0,7.0,290.0,2.0,330.0,1.0,330.0,2.0,10.0,2.0,10.0,5.0,-1.0,66.6,56.4
81,56.4,15.3,18.6,23.0,24.4,22.8,8.0,3.0,1.0,1.0,1.0,10.0,3.0,30.0,4.0,30.0,4.0,10.0,5.0,10.0,6.0,2.0,60.8,78.0
82,78.0,14.6,18.5,21.6,22.4,21.3,1.0,1.0,1.0,1.0,3.0,50.0,4.0,60.0,7.0,60.0,7.0,60.0,7.0,60.0,6.0,6.0622,56.4,77.4
83,77.4,13.2,16.0,17.9,19.4,19.5,1.0,3.0,5.0,3.0,1.0,40.0,5.0,50.0,7.0,50.0,8.0,50.0,9.0,40.0,7.0,6.1284,78.0,70.8
84,70.8,12.7,14.9,20.0,21.2,18.2,6.0,6.0,1.0,2.0,1.0,20.0,4.0,20.0,6.0,30.0,6.0,10.0,7.0,40.0,7.0,3.0,77.4,93.6
85,93.6,12.6,18.3,22.5,24.8,24.5,5.0,1.0,4.0,2.0,1.0,360.0,1.0,50.0,4.0,80.0,5.0,60.0,6.0,80.0,6.0,4.924,70.8,102.2
86,102.2,17.9,24.3,28.8,29.7,26.7,0.0,1.0,1.0,2.0,1.0,50.0,4.0,70.0,5.0,80.0,7.0,70.0,7.0,30.0,7.0,6.8937,93.6,114.0
87,114.0,19.0,25.3,29.1,28.7,25.3,0.0,0.0,1.0,2.0,1.0,40.0,5.0,60.0,6.0,70.0,7.0,50.0,7.0,40.0,9.0,6.5778,102.2,121.6
88,121.6,17.1,23.6,30.5,30.9,31.2,0.0,6.0,2.0,3.0,1.0,350.0,3.0,30.0,3.0,70.0,6.0,90.0,4.0,100.0,6.0,5.6382,114.0,136.8
89,136.8,21.5,28.6,32.2,33.2,31.5,0.0,0.0,1.0,1.0,0.0,70.0,1.0,90.0,4.0,100.0,6.0,100.0,5.0,120.0,4.0,5.9088,121.6,137.4
90,137.4,19.1,27.4,32.0,33.5,30.6,0.0,0.0,1.0,1.0,4.0,100.0,1.0,130.0,1.0,150.0,3.0,250.0,3.0,260.0,4.0,1.5,136.8,136.6
91,136.6,18.3,22.9,30.3,21.8,20.1,6.0,6.0,6.0,8.0,8.0,300.0,1.0,240.0,2.0,260.0,2.0,180.0,7.0,30.0,2.0,-1.9696,137.4,86.0
92,86.0,17.2,19.3,22.7,24.3,20.3,8.0,7.0,6.0,6.0,7.0,0.0,0.0,240.0,4.0,250.0,3.0,230.0,7.0,250.0,4.0,-2.8191,136.6,84.4
93,84.4,15.1,17.4,19.2,19.3,19.5,8.0,7.0,7.0,7.0,2.0,300.0,3.0,330.0,5.0,340.0,4.0,350.0,5.0,20.0,5.0,-1.3681,86.0,77.6
94,77.6,12.8,17.6,20.7,20.9,19.1,0.0,6.0,7.0,6.0,0.0,310.0,1.0,300.0,1.0,340.0,3.0,350.0,5.0,360.0,5.0,-1.0261,84.4,51.0
95,51.0,12.3,18.5,19.2,20.3,20.4,1.0,6.0,8.0,8.0,7.0,300.0,2.0,340.0,2.0,340.0,2.0,350.0,3.0,20.0,3.0,-0.684,77.6,50.8
96,50.8,14.8,18.3,20.4,20.8,20.8,7.0,7.0,7.0,6.0,7.0,340.0,2.0,20.0,2.0,330.0,3.0,360.0,3.0,360.0,3.0,-1.5,51.0,75.8
97,75.8,13.7,20.2,24.3,26.4,24.5,5.0,2.0,5.0,3.0,2.0,350.0,2.0,180.0,1.0,10.0,3.0,50.0,3.0,360.0,5.0,0.5209,50.8,134.0
98,134.0,15.9,23.9,28.4,29.7,28.3,3.0,3.0,6.0,1.0,3.0,10.0,2.0,50.0,1.0,60.0,5.0,70.0,3.0,20.0,5.0,4.3301,75.8,129.6
99,129.6,18.3,26.5,32.7,33.5,32.5,0.0,1.0,3.0,3.0,2.0,320.0,1.0,90.0,2.0,150.0,3.0,120.0,3.0,90.0,3.0,1.5,134.0,98.8
100,98.8,21.2,24.8,25.2,27.6,23.1,7.0,4.0,7.0,5.0,7.0,350.0,2.0,230.0,2.0,320.0,3.0,270.0,3.0,340.0,6.0,-1.9284,129.6,66.8
101,66.8,17.7,17.7,21.3,25.1,23.4,8.0,8.0,7.0,4.0,2.0,310.0,2.0,290.0,2.0,260.0,3.0,250.0,5.0,230.0,6.0,-2.9544,98.8,71.4
102,71.4,18.1,21.4,24.6,25.7,25.2,4.0,2.0,7.0,7.0,7.0,230.0,3.0,230.0,2.0,170.0,3.0,170.0,3.0,110.0,2.0,0.5209,66.8,69.8
103,69.8,16.9,18.6,22.3,25.2,23.3,7.0,7.0,7.0,7.0,7.0,280.0,1.0,140.0,3.0,200.0,1.0,140.0,1.0,290.0,4.0,-0.342,71.4,59.6
104,59.6,16.9,19.9,23.2,19.1,20.6,5.0,7.0,6.0,8.0,6.0,200.0,4.0,220.0,4.0,240.0,7.0,240.0,5.0,220.0,7.0,-6.0622,69.8,79.2
105,79.2,17.0,19.9,22.6,24.3,22.8,8.0,7.0,5.0,5.0,3.0,240.0,2.0,260.0,4.0,260.0,5.0,240.0,6.0,250.0,6.0,-4.924,59.6,63.6
106,63.6,15.4,19.0,22.4,21.5,21.4,5.0,7.0,6.0,7.0,7.0,220.0,2.0,280.0,4.0,250.0,5.0,260.0,6.0,250.0,5.0,-4.6985,79.2,53.6
107,53.6,17.2,18.0,22.3,24.8,23.1,8.0,8.0,7.0,7.0,7.0,190.0,2.0,210.0,4.0,210.0,7.0,250.0,6.0,240.0,4.0,-3.5,63.6,69.6
108,69.6,15.0,21.0,24.9,27.0,26.9,6.0,5.0,6.0,5.0,3.0,230.0,2.0,230.0,4.0,260.0,4.0,290.0,2.0,260.0,2.0,-3.9392,53.6,104.2
109,104.2,18.0,20.2,27.2,30.6,30.3,8.0,7.0,3.0,3.0,3.0,70.0,3.0,100.0,2.0,180.0,2.0,90.0,1.0,90.0,3.0,0.0,69.6,123.4
110,123.4,19.2,27.6,33.1,34.9,34.1,0.0,1.0,1.0,3.0,3.0,330.0,1.0,90.0,1.0,110.0,2.0,70.0,3.0,70.0,3.0,1.8794,104.2,80.6
111,80.6,18.8,23.2,24.3,25.7,21.9,6.0,0.0,0.0,0.0,1.0,330.0,4.0,340.0,5.0,340.0,5.0,340.0,6.0,360.0,7.0,-1.7101,123.4,70.6
112,70.6,16.3,19.6,21.4,21.7,19.3,6.0,2.0,1.0,1.0,0.0,340.0,5.0,360.0,9.0,20.0,8.0,340.0,8.0,340.0,6.0,2.7362,80.6,105.6
113,105.6,11.3,20.0,23.4,25.8,24.2,0.0,0.0,0.0,0.0,1.0,290.0,1.0,140.0,4.0,100.0,2.0,50.0,4.0,20.0,4.0,1.9696,70.6,117.2
114,117.2,13.9,22.9,28.1,30.1,29.2,1.0,1.0,0.0,0.0,0.0,30.0,1.0,80.0,3.0,80.0,4.0,80.0,5.0,80.0,5.0,3.9392,105.6,128.0
115,128.0,18.4,26.1,31.0,32.6,31.7,1.0,4.0,3.0,5.0,7.0,90.0,3.0,110.0,6.0,100.0,7.0,90.0,9.0,110.0,4.0,6.8937,117.2,96.4
116,96.4,19.3,23.7,24.6,24.1,21.6,7.0,5.0,6.0,7.0,6.0,220.0,4.0,220.0,8.0,220.0,8.0,210.0,9.0,200.0,9.0,-5.1423,128.0,48.0
117,48.0,17.1,17.8,21.3,22.4,21.0,8.0,8.0,7.0,6.0,7.0,230.0,7.0,240.0,5.0,240.0,6.0,230.0,7.0,220.0,5.0,-5.1962,96.4,56.8
118,56.8,19.6,20.5,22.4,25.4,26.2,8.0,8.0,8.0,3.0,1.0,270.0,4.0,250.0,2.0,240.0,2.0,260.0,2.0,20.0,1.0,-1.7321,48.0,98.2
119,98.2,17.0,23.3,28.0,30.2,29.2,9.0,3.0,1.0,0.0,2.0,30.0,1.0,130.0,3.0,120.0,3.0,50.0,2.0,60.0,3.0,2.5981,56.8,114.6
120,114.6,15.9,25.9,30.7,31.1,29.9,1.0,1.0,3.0,3.0,2.0,0.0,0.0,120.0,1.0,120.0,2.0,300.0,3.0,30.0,5.0,1.7321,98.2,138.8
121,138.8,19.2,25.4,29.6,30.7,28.9,2.0,0.0,4.0,5.0,4.0,350.0,1.0,10.0,2.0,20.0,3.0,40.0,4.0,10.0,6.0,1.0261,114.6,140.8
122,140.8,17.9,25.6,32.0,32.2,32.0,5.0,2.0,1.0,3.0,4.0,290.0,1.0,180.0,1.0,10.0,2.0,150.0,4.0,130.0,3.0,0.3473,138.8,134.6
126,114.8,17.4,22.2,26.3,23.4,18.3,5.0,1.0,3.0,8.0,8.0,270.0,1.0,20.0,5.0,300.0,2.0,270.0,7.0,330.0,6.0,-1.7321,173.0,104.4
127,104.4,17.3,19.4,22.7,22.5,20.8,7.0,7.0,6.0,7.0,7.0,100.0,1.0,0.0,0.0,320.0,2.0,230.0,3.0,360.0,4.0,-1.2856,114.8,76.6
128,76.6,17.4,20.0,20.1,19.4,19.4,8.0,6.0,8.0,8.0,8.0,10.0,3.0,30.0,4.0,30.0,6.0,20.0,6.0,20.0,5.0,3.0,104.4,75.0
129,75.0,14.5,18.5,20.1,20.4,19.5,1.0,7.0,7.0,7.0,7.0,20.0,4.0,50.0,6.0,60.0,6.0,60.0,5.0,40.0,5.0,5.1962,76.6,115.8
130,115.8,16.5,21.0,24.2,25.4,25.3,8.0,3.0,2.0,7.0,1.0,30.0,3.0,70.0,4.0,50.0,5.0,80.0,5.0,80.0,4.0,3.8302,75.0,144.0
131,144.0,16.8,24.2,27.2,29.2,28.7,0.0,1.0,4.0,6.0,2.0,100.0,2.0,90.0,4.0,120.0,6.0,120.0,5.0,120.0,3.0,5.1962,115.8,144.4
132,144.4,17.0,25.1,30.6,32.4,30.1,0.0,0.0,1.0,2.0,1.0,0.0,0.0,170.0,1.0,280.0,1.0,250.0,4.0,250.0,3.0,-0.9848,144.0,108.2
133,108.2,17.2,18.0,20.5,25.7,24.2,8.0,8.0,7.0,1.0,5.0,330.0,2.0,300.0,3.0,300.0,2.0,340.0,2.0,20.0,6.0,-1.7321,144.4,72.4
134,72.4,18.1,19.8,23.0,23.4,21.1,7.0,3.0,3.0,1.0,1.0,340.0,4.0,340.0,5.0,360.0,6.0,340.0,7.0,340.0,7.0,0.0,108.2,88.6
135,88.6,14.6,19.4,22.3,22.3,21.1,1.0,3.0,4.0,7.0,5.0,320.0,3.0,340.0,5.0,360.0,5.0,20.0,6.0,20.0,8.0,0.0,72.4,112.0
136,112.0,12.2,20.3,24.4,25.9,23.9,1.0,1.0,2.0,2.0,0.0,330.0,2.0,50.0,2.0,20.0,5.0,40.0,4.0,20.0,5.0,1.7101,88.6,131.2
137,131.2,13.1,21.8,27.1,29.0,26.2,0.0,0.0,1.0,6.0,3.0,290.0,2.0,90.0,1.0,50.0,5.0,60.0,5.0,10.0,5.0,3.8302,112.0,131.6
138,131.6,14.7,24.8,28.6,29.4,28.0,3.0,3.0,1.0,3.0,1.0,300.0,1.0,70.0,3.0,60.0,5.0,60.0,7.0,60.0,3.0,4.3301,131.2,125.6
139,125.6,14.7,24.1,28.0,28.8,26.8,1.0,1.0,2.0,2.0,3.0,290.0,1.0,80.0,3.0,70.0,6.0,40.0,4.0,10.0,5.0,5.6382,131.6,155.8
140,155.8,15.0,22.8,29.6,30.3,27.9,0.0,0.0,2.0,2.0,1.0,280.0,1.0,10.0,2.0,50.0,2.0,320.0,2.0,360.0,5.0,1.5321,125.6,161.4
